Year,Hudson River Greenway (b),Riverside Drive (a),West End Ave (a),Broadway (a),Amsterdam Ave (b),Columbus Ave (b),Central Park West (a),Central Park Dr West,Central Park Dr East,5th Ave,Madison Ave,Park Ave (a),Lexington Ave,3rd Ave,2nd Ave (b),1st Ave (b),York Ave (a),East End Ave (a),East River Greenway (b),Total
2007,1597,207,338,573,217,486,636,2314,2535,285,234,658,263,223,314,297,399,144,225,11945
2011,3326,321,256,717,515,594,1008,4360,4162,784,218,559,590,392,631,362,290,151,142,19378
2015,1919,309,301,512,609,724,1075,4795,4796,549,243,471,181,403,940,893,236,219,193,19368
2016,2085,327,383,287,1094,854,855,5429,5611,613,304,373,245,329,1024,1099,318,243,185,21658
2017,3203,328,442,389,1116,1137,1310,5786,5913,730,354,565,77,455,1924,1187,366,237,194,25713
2018,3170,465,451,431,1093,1426,1541,6056,5694,825,439,773,283,579,2092,1073,593,264,236,27484
